:.,$!sort -t, -bk7,7 -k1n
Release,YA,Num,MT,Type,N,Group,Album,Comments
68.0000,73,246,NX,BLUZ,1,Al Kooper,Super Session,
69.0000,73,243,NX,BLUZ,2,Al Kooper,Super Session Live,
69.0000,73,245,NX,BLUZ,1,Al Kooper,Kooper Session,
69.0000,73,252,SL,BLUZ,1,Albert King,Years Gone By,
70.0000,82,501,SL,BLUZ,1,Albert King,Blues for Elvis,
72.0000,73,253,SL,BLUZ,1,Albert King,Ill Play the Blues for You,
65.0000,75,310,LP,BLUZ,1,Alec Seward,Creeping Blues,
74.0000,77,375,LP,JAZZ,1,Alice Coltrane,Illuminations,
75.0000,79,413,LP,JAZZ,1,Alice Coltrane,Eternity,
68.7205,72,125,NX,ROCK,1,Allman Brothers,Duane and Gregg,31st of Feb Demo@
69.1199,72,108,CD,ROCK,1,Allman Brothers,Allman Brothers Band,@
70.0999,72,109,CD,ROCK,1,Allman Brothers,Idlewild South,@
71.0706,71,080,CD,ROCK,2,Allman Brothers,Fillmore East,@
72.0299,72,110,CD,ROCK,1,Allman Brothers,Eat a Peach,@
73.0899,73,192,XX,ROCK,1,Allman Brothers,Bothers and Sisters,@
91.1022,99,000,CD,ROCK,1,Allman Brothers,Decade of Hits 1969-1979,@
33.0000,74,297,LP,BLUZ,1,Andrew Odom,Andrew Odom,
33.0000,73,221,LP,BLUZ,1,BB King,Underground Gold,
65.0000,74,265,LP,BLUZ,1,BB King,Live at the Regal,
69.0000,75,322,LP,BLUZ,1,BB King,Live and Well,
70.0000,73,222,LP,BLUZ,1,BB King,Indianola Mississippi Seeds,
71.0000,71,084,SL,BLUZ,1,BB King,Cook County Jail,
71.0000,73,177,SL,BLUZ,1,BB King,In London,
72.0000,73,223,LP,BLUZ,1,BB King,LA Midnight,
72.0000,74,264,LP,BLUZ,1,BB King,Guess Who,
80.0000,73,236,LP,BLUZ,1,BB King,Back in the Alley,
68.0000,77,379,CC,ROCK,1,Band,Music from Big Pink,
69.0000,71,094,CC,ROCK,1,Band,The Band,
70.0000,71,078,VL,ROCK,1,Band,Stage Fright,
72.0000,73,190,CC,ROCK,2,Band,Rock of Ages,
75.0000,76,353,VL,ROCK,1,Band,Northern Lights Southern Cross,
33.0000,74,283,LP,BLUZ,1,Barry Goldberg,Two Jews Blues,
33.0000,77,368,LP,BLUZ,1,Barry Goldberg,And Friend,
00.9999,99,000,CD,JAZZ,1,Bela Fleck,Outbound,@
01.1002,99,000,CC,JAZZ,1,Bela Fleck,Perpetual Motion,@
02.9999,99,000,CD,JAZZ,1,Bela Fleck,Live at the Quick,@
03.9999,99,000,CD,JAZZ,3,Bela Fleck,Little Worlds,@
04.0524,99,000,CD,JAZZ,1,Bela Fleck,Music for Two,with Edgar Meyer@
06.9999,99,000,CD,JAZZ,1,Bela Fleck,The Hidden Land,@
07.0522,99,000,CD,JAZZ,1,Bela Fleck,The Enchantment,With Chick Corea@
08.9999,99,000,CD,JAZZ,1,Bela Fleck,Jingle All the Way,@
09.0303,99,000,CD,JAZZ,1,Bela Fleck,Throw Down Your Heart,@
11.9999,99,000,CD,JAZZ,1,Bela Fleck,Rocket Science,@
12.0705,99,000,CD,JAZZ,1,Bela Fleck,With Marcus Roberts,@
83.9999,99,000,CD,JAZZ,1,Bela Fleck,Dreadful Snakes,Missing@
89.9999,99,000,CD,JAZZ,1,Bela Fleck,Strength in Numbers,@
90.9999,99,000,CD,JAZZ,1,Bela Fleck,Flecktones,@
91.9999,99,000,CD,JAZZ,1,Bela Fleck,Cosmic Hippo,@
92.9999,99,000,CD,JAZZ,1,Bela Fleck,UFO Tofu,@
93.9999,99,000,CD,JAZZ,1,Bela Fleck,Cuckoos Nest,@
96.0702,44,000,CD,JAZZ,1,Bela Fleck,Tabula Rasa,@
96.9999,99,000,CD,JAZZ,2,Bela Fleck,Live Art,@
97.0930,99,000,CD,JAZZ,1,Bela Fleck,Uncommon Ritual,with Edgar Meyer@
98.9999,99,000,CD,JAZZ,1,Bela Fleck,Left of Cool,@
33.0000,74,287,LP,BLUZ,1,Big Bill Broonzy,Feeling Lowdown,
33.0000,74,289,LP,BLUZ,1,Big Joe Williams,Plums Look Mellow,
33.0000,80,446,LP,BLUZ,1,Bill Broonzy,Do That Guitar Rag,
33.0000,80,434,LP,FOLK,1,Bill Monroe,With Flatt and Scruggs,
33.0000,82,498,LP,FOLK,1,Bill Monroe,Greatest Hits,
33.0000,74,290,XX,ROCK,1,Bill Wyman,Monkey Grip,
69.0000,70,044,CD,ROCK,2,Blind Faith,Blind Faith,Deluxe Edition
44.4444,44,000,CD,ROCK,1,Bob Dylan,Hard Rain,
65.0000,72,150,CD,ROCK,1,Bob Dylan,Bring it All Back Home,
65.0000,73,167,CD,ROCK,1,Bob Dylan,Highway 61,
67.0000,70,067,CD,ROCK,1,Bob Dylan,Greatest Hits V1,
69.0000,77,390,VL,ROCK,1,Bob Dylan,Nashville Skyline,
71.0000,72,151,CD,ROCK,2,Bob Dylan,Greatest Hits V2,
74.0000,80,444,SL,ROCK,1,Bob Dylan,Planet Waves,
75.0000,76,361,CD,ROCK,1,Bob Dylan,Blood on the Tracks,
75.0000,76,361,SL,ROCK,1,Bob Dylan,Blood on the Tracks,
72.0501,73,210,CD,DEAD,1,Bob Weir,Ace,@
76.0399,76,355,LP,DEAD,1,Bob Weir,Kingfish,@
78.0113,81,469,CD,DEAD,1,Bob Weir,Heaven Help The Fool,@
81.1021,81,470,LP,DEAD,1,Bob Weir,Bobby and the Midnights,@
72.0000,77,396,VL,ROCK,1,Bonnie Raitt,Give It Up,
68.0000,72,157,KP,ROCK,1,Brewer and Shipley,Down in LA,
69.0000,72,158,KP,ROCK,1,Brewer and Shipley,Weeds,
70.0000,72,159,KP,ROCK,1,Brewer and Shipley,Tarkio,
71.0000,72,160,KP,ROCK,1,Brewer and Shipley,Shake Off the Demon,
72.0000,74,276,KP,ROCK,1,Brewer and Shipley,Rural Space,
44.4444,44,000,CD,JAZZ,4,Bud Powell,Classic Recordings 1949-1956,
33.0000,73,238,LP,BLUZ,1,Buddy Guy,Hold that Plane,
33.0000,74,275,LP,BLUZ,1,Buddy Guy,With Junior Wells,
33.0000,75,317,LP,BLUZ,1,Buddy Guy,Left My Blues in SF,
66.0000,70,063,VL,ROCK,1,Buffalo Springfield,Buffalo Springfield,
67.0000,70,064,VL,ROCK,1,Buffalo Springfield,Again,
68.0000,70,065,VL,ROCK,1,Buffalo Springfield,Last Time Around,
67.0807,72,161,CC,ROCK,1,Byrds,Greatest Hits V1,@
70.0914,70,068,CD,ROCK,2,Byrds,Untitled,@
73.0307.99,000,CD,ROCK,1,Byrds,Byrds,@
79.1199,99,000,CD,ROCK,1,Byrds,Byrds Play Dylan,@
96.9999,99,000,CD,ROCK,1,Byrds,Live From Mars,Roger McGuinn@
69.0000,69,013,VL,ROCK,1,CSN,Crosby Stills and Nash,
33.0000,69,037,XX,ROCK,2,CSNY,Live at Felt Forum,
33.0000,73,173,VL,ROCK,1,CSNY,Crosby and Nash,
70.0000,69,032,KP,ROCK,1,CSNY,Deja Vu,
70.0000,72,101,XX,ROCK,1,CSNY,Wooden Nickel,
71.0000,71,073,XX,ROCK,2,CSNY,Four Way Street,
33.0000,75,305,VL,ROCK,1,Charlie Daniels,Charlie Daniels,
33.0000,74,293,LP,JAZZ,2,Chick Corea,Circle Paris Concert,
44.4444,44,000,CD,JAZZ,1,Chick Corea,Corea/Hancock/Jarret/Tyner,
44.4444,44,000,CD,JAZZ,1,Chick Corea,Mystic Bridge,
33.0000,73,219,XX,ROCK,1,Chuck Berry,Berrys Greatest Hits,
33.0000,73,220,XX,ROCK,1,Chuck Berry,Sweet Little Rock and Roller,
33.0000,74,261,XX,ROCK,2,Chuck Berry,StL to SFO to Memphis,
33.0000,72,123,LP,ROCK,1,Clapton,Guitar Boogie,
64.0000,73,185,XX,ROCK,1,Clapton,Five Live Yardbirds,
66.0000,72,124,LP,BLUZ,1,Clapton,With Sonny Boy,
70.0000,71,076,KP,ROCK,2,Clapton,Layla,
70.0000,71,090,XX,ROCK,1,Clapton,Eric Clapton,
72.0000,72,121,XX,ROCK,2,Clapton,History of,
73.0000,73,184,XX,ROCK,1,Clapton,Rainbow Concert,
73.0000,73,186,XX,ROCK,2,Clapton,In Concert,
74.0000,81,461,CC,ROCK,1,Clapton,461 Ocean Boulevard,
83.0000,83,505,XX,ROCK,1,Clapton,Timepieces,
33.0000,75,321,LP,BLUZ,1,Cleanhead Vinson,Cant Make Love Alone,
44.4444,44,000,CD,FOLK,1,Country Gentleman,On the Road,
66.0000,69,026,CC,ROCK,1,Cream,Fresh Cream,
67.0000,69,027,CC,ROCK,1,Cream,Disraeli Gears,
68.0000,69,028,XX,ROCK,2,Cream,Wheels of Fire,
69.0000,69,002,CC,ROCK,1,Cream,Best Of,
69.0000,69,030,XX,ROCK,1,Cream,Goodbye,
70.0000,70,053,XX,ROCK,1,Cream,Live Cream Vol 1,
72.0000,72,114,XX,ROCK,1,Cream,Live Cream Vol 2,
75.9999,76,362,CD,ROCK,1,Danny Gatton,American Music,@
77.2001,99,000,CD,ROCK,2,Danny Gatton,Live at Desperados,@
77.9999,99,000,CD,ROCK,2,Danny Gatton,With Buddy Emmons Live,@
78.1231,79,412,CD,ROCK,1,Danny Gatton,Redneck Jazz,@
87.9999,87,526,CD,ROCK,1,Danny Gatton,Unfinished Business,@
91.0319,99,000,CD,ROCK,1,Danny Gatton,88 Elmira Street,@
92.9999,99,000,CD,ROCK,1,Danny Gatton,New York Stories,@
93.9999,99,000,CD,ROCK,1,Danny Gatton,Cruising Deuces,@
95.9999,99,000,CD,ROCK,1,Danny Gatton,Redneck Jazz Explosion,@
98.9999,99,000,CD,ROCK,1,Danny Gatton,Portraits,@
98.9999,99,000,CD,ROCK,2,Danny Gatton,Untouchable,@
33.0000,72,130,XX,ROCK,1,Dave Mason,Alone Together,
33.0000,72,131,XX,ROCK,1,Dave Mason,Headkeeper,
72.0000,77,366,LP,FOLK,1,David Bromberg,David Bromberg,
72.0000,77,367,LP,FOLK,1,David Bromberg,Demon in Disguise,
74.0000,74,272,LP,FOLK,1,David Bromberg,Wanted Dead or Alive,
75.0000,79,407,LP,FOLK,1,David Bromberg,Midnight on the Water,
76.0000,77,385,LP,ROCK,2,David Bromberg,How Late You Play Til,
71.0000,72,106,KP,ROCK,1,David Crosby,Remember My Name,
44.4444,44,000,CD,ROCK,2,David Gilmour,First Two Albums,
33.0000,82,497,LP,JAZZ,1,David Grisman,Mandolin Abstractions,
33.0000,82,478,XX,ROCK,1,David La Flamme,White Bird,
44.4444,44,000,CD,DEAD,1,Dead,The Strange Remain,
44.4444,44,000,CD,DEAD,1,Dead,Twilight Zone Soundtrack,
44.4444,44,000,CD,DEAD,2,Dead,Europe 72 Vol 2,
44.4444,44,000,CD,DEAD,2,Dead,Grayfolded,
44.4444,44,000,CD,DEAD,2,Dead,Postcards of the Hanging,
44.4444,44,000,CD,DEAD,4,Dead,England 72,
44.4444,44,000,CD,DEAD,4,Dead,Sunshine Daydream,
67.0317,73,201,XX,DEAD,1,Dead,The Grateful Dead,@
68.0718,73,202,CC,DEAD,1,Dead,Anthem Extended,@
68.0718,73,202,CD,DEAD,1,Dead,Anthem of the Sun,@
69.0620,73,203,CD,DEAD,1,Dead,Aoxomoxoa,@
69.1110,73,196,CD,DEAD,2,Dead,Live Dead,@
70.0399,74,269,NX,DEAD,1,Dead,Zabriskie Point,@
70.0714,73,204,CD,DEAD,1,Dead,Workingmans Dead,@
70.1099,73,206,NX,DEAD,1,Dead,Vintage,@
70.1101,73,205,CD,DEAD,1,Dead,American Beauty,@
71.0699,73,207,NX,DEAD,1,Dead,Historic Dead,@
71.1024,73,194,XX,DEAD,2,Dead,Skull and Roses,@
72.1105,73,198,CD,DEAD,3,Dead,Europe 72,@
73.0713,73,208,XX,DEAD,1,Dead,Bears Choice,@
73.1015,73,209,CC,DEAD,1,Dead,Wake of the Flood,@
74.0627,74,271,CD,DEAD,1,Dead,Mars Hotel,@
75.0813,75,000,CD,DEAD,2,Dead,One from the Vault,@
75.0901,75,333,CC,DEAD,1,Dead,Blues For Allah,@
76.0626,76,356,XX,DEAD,2,Dead,Steal Your Face,@
77.0727,77,400,CD,DEAD,1,Dead,Terrapin Station,@
78.1115,78,401,XX,DEAD,1,Dead,Shakedown Street,@
80.0428,80,445,XX,DEAD,1,Dead,Go To Heaven,@
81.0401,81,451,CD,DEAD,2,Dead,Reckoning,@
81.0826,81,454,CD,DEAD,2,Dead,Dead Set,@
87.0706,87,520,XX,DEAD,1,Dead,In the Dark,@
89.1030,89,000,XX,DEAD,1,Dead,Dylan and the Dead,@
89.1031,89,000,CD,DEAD,1,Dead,Built to Last,@
90.0999,73,000,CD,DEAD,2,Dead,Without a Net,@
44.4444,44,000,CD,DEAD,1,Dead Grass,Dead Grass,With Vassar Clements
33.0000,75,313,LP,ROCK,1,Dickey Betts,Highway Call,
44.4444,44,000,CD,ROCK,1,Dire Straits,Making Movies,
33.0000,73,178,LP,ROCK,3,Dirt Band,With the Circle Be Unbroken,
33.0000,77,377,LP,JAZZ,1,Django Reinhart,Parisian Swing,
33.0000,81,458,LP,JAZZ,2,Django Reinhart,The Indispensible,
33.0000,73,226,LP,FOLK,2,Doc Watson,On Stage,
33.0000,73,228,LP,FOLK,2,Doc Watson,The Essential,
33.0000,74,268,LP,FOLK,1,Doc Watson,Ballads from Deep Gap,
33.0000,83,510,LP,FOLK,1,Doc Watson,Lonesome Road,
44.4444,44,000,CD,FOLK,4,Doc Watson,The Vanguard Years,
33.0000,81,464,XX,ROCK,1,Donovan,Barabajagal,
33.0000,81,465,XX,ROCK,1,Donovan,Hurdy Gurdy Man,
33.0000,81,466,XX,ROCK,1,Donovan,Sunshine Superman,
67.0000,69,006,CC,ROCK,1,Doors,The Doors,
67.0000,69,006,CD,ROCK,1,Doors,The Doors,
67.0000,69,011,CD,ROCK,1,Doors,Strange Days,
68.0000,69,010,CD,ROCK,1,Doors,Waiting For the Sun,
69.0000,69,003,CD,ROCK,1,Doors,Soft Parade,
70.0000,69,021,CD,ROCK,1,Doors,Morrison Hotel,
70.0000,70,051,XX,ROCK,2,Doors,Absolutely Live,
71.0000,71,072,CC,ROCK,1,Doors,LA Woman,
78.0000,83,508,VL,ROCK,1,Doors,American Prayer,
83.0000,83,509,VL,ROCK,1,Doors,Alive She Cried,
44.4444,44,000,CD,DEAD,1,Dos Hermanos,Bright Shadows,With Tom Constanten
33.0000,82,500,VL,ROCK,1,Elvis,Greatest Hits,
44.4444,44,000,CD,ROCK,1,Eva Cassidy,Live at Blues Alley,
44.4444,44,000,CD,ROCK,1,Eva Cassidy,Songbird,
44.4444,44,000,CD,ROCK,1,Eva Cassidy,Songbird,
44.4444,44,000,CD,ROCK,1,Eva Cassidy,Songbird,
44.4444,44,000,CD,ROCK,1,Eva Cassidy,Songbird,
69.0000,72,104,LP,BLUZ,2,Fleetwood Mac,In Chicago,
71.0000,72,099,LP,BLUZ,2,Fleetwood Mac,Black Magic Woman,
71.0000,79,411,LP,BLUZ,1,Fleetwood Mac,Original Fleetwood Mac,
61.0000,87,527,SL,BLUZ,1,Freddie King,Sings,
71.0000,73,250,SL,BLUZ,1,Freddie King,Getting Ready,
73.0000,73,251,SL,BLUZ,1,Freddie King,Woman Across the River,
86.0000,87,528,SL,BLUZ,2,Freddie King,Just Picking,
00.0425,99,000,CD,DEAD,1,Garcia,The Pizza Tapes,@
01.0911,99,000,CD,DEAD,1,Garcia,Grateful Dawg,WOW@
70.9810,99,000,CD,DEAD,1,Garcia,With Howard Wales,@
71.0701,73,193,CD,DEAD,1,Garcia,Garcia,@
71.1101,73,212,LP,DEAD,1,Garcia,Hooteroll,@
72.0299,76,346,LP,DEAD,1,Garcia,Heavy Turbulence,@
73.0599,73,213,LP,DEAD,1,Garcia,Fire Up,@
73.0799,73,214,LP,DEAD,2,Garcia,Live at Keystone,@
74.0699,74,270,XX,DEAD,1,Garcia,Compliments Of,@
76.0215,76,345,XX,DEAD,1,Garcia,Reflections,@
78.0499,77,399,XX,DEAD,1,Garcia,Cats Down Under the Stars,@
82.0099,82,471,LP,DEAD,1,Garcia,Run For the Roses,@
88.0301,87,521,LP,DEAD,1,Garcia,Keystone Encores Vol 1,@
88.0301,87,522,LP,DEAD,1,Garcia,Keystone Encores Vol 2,@
95.0899,99,000,CD,DEAD,1,Garcia,Blue Incantation,on Sanjay Mishra@
98.0899,99,000,CD,DEAD,1,Garcia,So What,@
44.4444,44,000,CD,ROCK,1,Genesis,Lamb Lies Down,
71.0000,82,479,NX,ROCK,1,Genesis,Nursery Cryme,
72.0000,82,480,NX,ROCK,1,Genesis,Foxtrot,
73.0000,76,365,NX,ROCK,1,Genesis,Selling England By the Pound,
70.0000,72,147,XX,ROCK,3,George Harrison,All Things Must Pass,
71.0000,73,168,LP,ROCK,3,George Harrison,Concert for Bangladesh,
33.0000,80,450,LP,FOLK,1,Good Old Boys,Pistol Packing Mama,
33.0000,72,115,VL,ROCK,1,Graham Nash,Songs for Beginners,
33.0000,71,089,SL,ROCK,1,Grin,Grin,
69.0000,69,007,LP,MISS,1,Guess Who,Wheatfield Soul,
69.0000,69,008,LP,MISS,1,Guess Who,Canned Wheat,
33.0000,80,443,LP,JAZZ,1,Happy The Man,Happy The Man,
33.0000,73,247,SL,BLUZ,1,Harvey Mandel,Get Off in Chicago,
67.0823,69,031,CD,ROCK,1,Hendrix,Are You Experienced,@
67.1201,69,016,XX,ROCK,1,Hendrix,Axis Bold as Love,@
68.1016,69,033,CD,ROCK,2,Hendrix,Electric Ladyland,@
69.0730,69,012,XX,ROCK,1,Hendrix,Smash Hits,@
70.0325,70,054,XX,ROCK,1,Hendrix,Band of Gypsys 1,@
70.7110,72,112,XX,ROCK,1,Hendrix,Rainbow Bridge,@
70.8208,87,524,SL,ROCK,2,Hendrix,The Jimi Hendrix Concerts,@
70.8610,87,523,XX,ROCK,1,Hendrix,Band of Gypsys 2,@
71.0305,71,075,KP,ROCK,1,Hendrix,Cry of Love,@
71.9999,73,218,XX,ROCK,1,Hendrix,Friends from the Beginning,With Little Richard/BOGUS@
99.0223,99,000,CD,ROCK,2,Hendrix,Live at Fillmore East,@
44.4444,44,000,CD,JAZZ,1,Hiromi,Hiromi and Castaneda,
44.4444,44,000,CD,DEAD,2,Holly Bowling,Better Left Unsung,
33.0000,73,254,XX,ROCK,1,Hot Tuna,Hot Tuna,
33.0000,75,338,XX,ROCK,1,Hot Tuna,Burgers,
33.0000,72,132,LP,BLUZ,1,Howling Wolf,London Sessions,
33.0000,73,241,LP,BLUZ,2,Howling Wolf,Chester Burnett AKA,
94.0909.99,000,CD,ROCK,2,Danny Gatton,In Concert 9/9/94,
68.0000,69,001,VT,ROCK,1,Iron Butterfly,Inna Gadda da Vida,
68.0000,69,004,SL,ROCK,1,Iron Butterfly,Heavy,
69.0000,69,005,SL,ROCK,1,Iron Butterfly,Ball,
44.4444,44,000,CD,ROCK,1,Jackson Browne,For Everyman,
44.4444,44,000,CD,ROCK,1,Jackson Browne,Late For the Sky,
44.4444,44,000,CD,ROCK,1,Jackson Browne,Lives in the Balance,
44.4444,44,000,CD,DEAD,1,Jazz is Dead,Laughing Water,
33.0000,77,397,XX,ROCK,1,Jeff Beck,Blow By Blow,
33.0000,77,369,XX,ROCK,1,Jefferson Airplane,Volunteers,
71.0000,71,079,CC,ROCK,1,Jethro Tull,Aqualung,
33.0000,81,468,LP,ROCK,1,Jimmy Cliff,The Harder They Come,
33.0000,75,308,LP,BLUZ,1,Jimmy Reed,Soul Greats,
33.0000,75,341,LP,BLUZ,1,Jimmy Witherspoon,Best Of,
